Loop	AgentId	EmployeesCount	Color	
12	0X01000000	0	3	
12	0X01000001	0	2	
12	0X01000002	0	4	
12	0X01000003	0	1	
12	0X01000004	0	2	
12	0X01000005	0	1	
12	0X01000006	0	4	
12	0X01000007	0	4	
12	0X01000008	0	1	
12	0X01000009	0	1	
12	0X0100000A	0	2	
12	0X0100000B	0	3	
12	0X0100000C	0	2	
12	0X0100000D	0	0	
12	0X0100000E	0	2	
12	0X0100000F	0	2	
12	0X01000010	0	3	
12	0X01000011	0	4	
12	0X01000012	0	2	
12	0X01000013	0	0	
12	0X01000014	0	1	
12	0X01000015	0	0	
12	0X01000016	0	0	
12	0X01000017	0	0	
12	0X01000018	0	1	
12	0X01000019	0	0	
12	0X0100001A	0	2	
12	0X0100001B	0	2	
12	0X0100001C	0	4	
12	0X0100001D	0	4	
12	0X0100001E	0	4	
12	0X0100001F	0	0	
12	0X01000020	0	0	
12	0X01000021	0	0	
12	0X01000022	0	1	
12	0X01000023	0	1	
12	0X01000024	0	2	
12	0X01000025	0	1	
12	0X01000026	0	3	
12	0X01000027	0	1	
24	0X01000000	0	3	
24	0X01000001	0	2	
24	0X01000002	0	4	
24	0X01000003	0	1	
24	0X01000004	0	2	
24	0X01000005	0	1	
24	0X01000006	0	4	
24	0X01000007	0	4	
24	0X01000008	0	1	
24	0X01000009	0	1	
24	0X0100000A	0	2	
24	0X0100000B	0	3	
24	0X0100000C	0	2	
24	0X0100000D	0	0	
24	0X0100000E	0	2	
24	0X0100000F	0	2	
24	0X01000010	0	3	
24	0X01000011	0	4	
24	0X01000012	0	2	
24	0X01000013	0	0	
24	0X01000014	0	1	
24	0X01000015	0	0	
24	0X01000016	0	0	
24	0X01000017	0	0	
24	0X01000018	0	1	
24	0X01000019	0	0	
24	0X0100001A	0	2	
24	0X0100001B	0	2	
24	0X0100001C	0	4	
24	0X0100001D	0	4	
24	0X0100001E	0	4	
24	0X0100001F	0	0	
24	0X01000020	0	0	
24	0X01000021	0	0	
24	0X01000022	0	1	
24	0X01000023	0	1	
24	0X01000024	0	2	
24	0X01000025	0	1	
24	0X01000026	0	3	
24	0X01000027	0	1	
36	0X01000000	0	3	
36	0X01000001	0	2	
36	0X01000002	0	4	
36	0X01000003	0	1	
36	0X01000004	0	2	
36	0X01000005	0	1	
36	0X01000006	0	4	
36	0X01000007	0	4	
36	0X01000008	0	1	
36	0X01000009	0	1	
36	0X0100000A	0	2	
36	0X0100000B	0	3	
36	0X0100000C	0	2	
36	0X0100000D	0	0	
36	0X0100000E	0	2	
36	0X0100000F	0	2	
36	0X01000010	0	3	
36	0X01000011	0	4	
36	0X01000012	0	2	
36	0X01000013	0	0	
36	0X01000014	0	1	
36	0X01000015	0	0	
36	0X01000016	0	0	
36	0X01000017	0	0	
36	0X01000018	0	1	
36	0X01000019	0	0	
36	0X0100001A	0	2	
36	0X0100001B	0	2	
36	0X0100001C	0	4	
36	0X0100001D	0	4	
36	0X0100001E	0	4	
36	0X0100001F	0	0	
36	0X01000020	0	0	
36	0X01000021	0	0	
36	0X01000022	0	1	
36	0X01000023	0	1	
36	0X01000024	0	2	
36	0X01000025	0	1	
36	0X01000026	0	3	
36	0X01000027	0	1	
48	0X01000000	0	3	
48	0X01000001	0	2	
48	0X01000002	0	4	
48	0X01000003	0	1	
48	0X01000004	0	2	
48	0X01000005	0	1	
48	0X01000006	0	4	
48	0X01000007	0	4	
48	0X01000008	0	1	
48	0X01000009	0	1	
48	0X0100000A	0	2	
48	0X0100000B	0	3	
48	0X0100000C	0	2	
48	0X0100000D	0	0	
48	0X0100000E	0	2	
48	0X0100000F	0	2	
48	0X01000010	0	3	
48	0X01000011	0	4	
48	0X01000012	0	2	
48	0X01000013	0	0	
48	0X01000014	0	1	
48	0X01000015	0	0	
48	0X01000016	0	0	
48	0X01000017	0	0	
48	0X01000018	0	1	
48	0X01000019	0	0	
48	0X0100001A	0	2	
48	0X0100001B	0	2	
48	0X0100001C	0	4	
48	0X0100001D	0	4	
48	0X0100001E	0	4	
48	0X0100001F	0	0	
48	0X01000020	0	0	
48	0X01000021	0	0	
48	0X01000022	0	1	
48	0X01000023	0	1	
48	0X01000024	0	2	
48	0X01000025	0	1	
48	0X01000026	0	3	
48	0X01000027	0	1	
60	0X01000000	0	3	
60	0X01000001	0	2	
60	0X01000002	0	4	
60	0X01000003	0	1	
60	0X01000004	0	2	
60	0X01000005	0	1	
60	0X01000006	0	4	
60	0X01000007	0	4	
60	0X01000008	0	1	
60	0X01000009	0	1	
60	0X0100000A	0	2	
60	0X0100000B	0	3	
60	0X0100000C	0	2	
60	0X0100000D	0	0	
60	0X0100000E	0	2	
60	0X0100000F	0	2	
60	0X01000010	0	3	
60	0X01000011	0	4	
60	0X01000012	0	2	
60	0X01000013	0	0	
60	0X01000014	0	1	
60	0X01000015	0	0	
60	0X01000016	0	0	
60	0X01000017	0	0	
60	0X01000018	0	1	
60	0X01000019	0	0	
60	0X0100001A	0	2	
60	0X0100001B	0	2	
60	0X0100001C	0	4	
60	0X0100001D	0	4	
60	0X0100001E	0	4	
60	0X0100001F	0	0	
60	0X01000020	0	0	
60	0X01000021	0	0	
60	0X01000022	0	1	
60	0X01000023	0	1	
60	0X01000024	0	2	
60	0X01000025	0	1	
60	0X01000026	0	3	
60	0X01000027	0	1	
72	0X01000000	0	3	
72	0X01000001	0	2	
72	0X01000002	0	4	
72	0X01000003	0	1	
72	0X01000004	0	2	
72	0X01000005	0	1	
72	0X01000006	0	4	
72	0X01000007	0	4	
72	0X01000008	0	1	
72	0X01000009	0	1	
72	0X0100000A	0	2	
72	0X0100000B	0	3	
72	0X0100000C	0	2	
72	0X0100000D	0	0	
72	0X0100000E	0	2	
72	0X0100000F	0	2	
72	0X01000010	0	3	
72	0X01000011	0	4	
72	0X01000012	0	2	
72	0X01000013	0	0	
72	0X01000014	0	1	
72	0X01000015	0	0	
72	0X01000016	0	0	
72	0X01000017	0	0	
72	0X01000018	0	1	
72	0X01000019	0	0	
72	0X0100001A	0	2	
72	0X0100001B	0	2	
72	0X0100001C	0	4	
72	0X0100001D	0	4	
72	0X0100001E	0	4	
72	0X0100001F	0	0	
72	0X01000020	0	0	
72	0X01000021	0	0	
72	0X01000022	0	1	
72	0X01000023	0	1	
72	0X01000024	0	2	
72	0X01000025	0	1	
72	0X01000026	0	3	
72	0X01000027	0	1	
84	0X01000000	0	3	
84	0X01000001	0	2	
84	0X01000002	0	4	
84	0X01000003	0	1	
84	0X01000004	0	2	
84	0X01000005	0	1	
84	0X01000006	0	4	
84	0X01000007	0	4	
84	0X01000008	0	1	
84	0X01000009	0	1	
84	0X0100000A	0	2	
84	0X0100000B	0	3	
84	0X0100000C	0	2	
84	0X0100000D	0	0	
84	0X0100000E	0	2	
84	0X0100000F	0	2	
84	0X01000010	0	3	
84	0X01000011	0	4	
84	0X01000012	0	2	
84	0X01000013	0	0	
84	0X01000014	0	1	
84	0X01000015	0	0	
84	0X01000016	0	0	
84	0X01000017	0	0	
84	0X01000018	0	1	
84	0X01000019	0	0	
84	0X0100001A	0	2	
84	0X0100001B	0	2	
84	0X0100001C	0	4	
84	0X0100001D	0	4	
84	0X0100001E	0	4	
84	0X0100001F	0	0	
84	0X01000020	0	0	
84	0X01000021	0	0	
84	0X01000022	0	1	
84	0X01000023	0	1	
84	0X01000024	0	2	
84	0X01000025	0	1	
84	0X01000026	0	3	
84	0X01000027	0	1	
96	0X01000000	0	3	
96	0X01000001	0	2	
96	0X01000002	0	4	
96	0X01000003	0	1	
96	0X01000004	0	2	
96	0X01000005	0	1	
96	0X01000006	0	4	
96	0X01000007	0	4	
96	0X01000008	0	1	
96	0X01000009	0	1	
96	0X0100000A	0	2	
96	0X0100000B	0	3	
96	0X0100000C	0	2	
96	0X0100000D	0	0	
96	0X0100000E	0	2	
96	0X0100000F	0	2	
96	0X01000010	0	3	
96	0X01000011	0	4	
96	0X01000012	0	2	
96	0X01000013	0	0	
96	0X01000014	0	1	
96	0X01000015	0	0	
96	0X01000016	0	0	
96	0X01000017	0	0	
96	0X01000018	0	1	
96	0X01000019	0	0	
96	0X0100001A	0	2	
96	0X0100001B	0	2	
96	0X0100001C	0	4	
96	0X0100001D	0	4	
96	0X0100001E	0	4	
96	0X0100001F	0	0	
96	0X01000020	0	0	
96	0X01000021	0	0	
96	0X01000022	0	1	
96	0X01000023	0	1	
96	0X01000024	0	2	
96	0X01000025	0	1	
96	0X01000026	0	3	
96	0X01000027	0	1	
